(a)_child  וָלָד
Hevel/Abel  הֶבֶל
Hiddeqel/Tigris  חִדֶּקֶל
his/its=days  יָמָי=ו
his/its=longing/desire  תְּשׁוּקָת=וֹ
his/its=name  שְׁמָ=הּ
his/its=name  שְׁמ=וֹ
his=breath/wind/spirit  רוּח=וֹ
his=daughter-in-law  כַּלָּת=וֹ
his=descendants  מוֹלַדְתּ=וֹ
his=donation/offering  מִנְחָת=וֹ
his=dreams  חֲלֹמֹתָי=ו
his=drinking/feast  מִשְׁתָּי=ו
his=faces/face  פָּנָי=ו
his=father  אָבִי=ו
his=firstborn  בְּכֹר=וֹ
his=flock_of_sheep/goats  צֹאנ=וֹ
his=friends  חַבְרוֹ=הִי
his=god  אֱלֹהָי=ו
his=hand  יָד=וֹ
his=head  רֹאשׁ=וֹ
his=heart  לִבּ=וֹ
his=kingdom  מַלְכוּת=וֹ
his=kingdom  מַמְלַכְתּ=וֹ
his=life  חַיָּי=ו
his=mother  אִמּ=וֹ
his=name  שְׁמֵ=הּ
his=neighbour  רֵעֵ=הוּ
his=officials  סָרִיסָי=ו
his=son  בְּנ=וֹ
his=wife/woman  אִשְׁתּ=וֹ
his=woman  אָחִי=ו
Hofni  חָפְנִי
house_of  בֵית
house_of  בֵּית
hovering  מְרַחֶפֶת
humankind  אָדָם
hundred  מֵאָה
hundred_of  מְאַת
hundreds  מֵאוֹת
hundreds  מֵאֹת
hunting  צַיִד
I  אָֽנֹכִי
I  אֲנִי
I  אֲנָה
I  אָנֹכִי
I_commanded=you(ms)  צִוִּיתִי=ךָ
I_created  בָּרָאתִי
I_found  הַשְׁכַּחַת
I_give  נָתַתִּי
I_have_dreamed  חָלָמְתִּי
I_have_killed  הָרַגְתִּי
I_have_made=them  עֲשִׂיתִ=ם
I_have_procured/acquired  קָנִיתִי
I_heard  שָׁמַעְתִּי
I_know  יָדַעְתִּי
I_saw  חֲזֵית
I_sighed/regretted  נִחַמְתִּי
I_will_be_hidden/concealed  אֶסָּתֵר
I_will_curse  אָאֹר
I_will_increase  אַרְבֶּה
I_will_make  אֶעֱשֶׂהּ
I_will_put/place  אָשִׁית
I_will_show=you(ms)  אָבִי=ךָ
I_will_show=you(ms)  אַרְאֶֽ=ךָּ
I_will_stroke/rub//erase  אֶמְחֶה
if  הֵן
if  אִם
in/among=them  בָ=הֶם
in/on/over=it/him  בּ=וֹ
in/on=both_eyes_of  בְּ=עֵינֵי
in/on=day  בְּ=יוֹם
in/on=his=woman/wife  בְּ=אִשְׁתּ=וֹ
in/on=name_of  בְּ=שֵׁם
in/on=that=also  בְּ=שַׁ=גַּם
in/on_the=earth  בָ=אָרֶץ
in/on_the=humankind  בָ=אָדָם
in/with=food  בְּ=פַתְבַּג
in=(the)_image  בְּ=צֶלֶם
in=(the)_palace  בְּ=הֵיכַל
in=account_of  בַּ=עֲבוּר
in=all  בְּ=כָל
in=beginning  בְּ=רֵאשִׁית
in=earthen_vessel//painful_toll  בְּ=עֶצֶב
in=Eden  בְ=עֵדֶן
in=end/latter  בְּ=אַחֲרִית
in=garden  בְ=גַן
in=Haran  בְּ=חָרָן
in=Haran  בְ=חָרָן
in=haste  בְּ=הִתְבְּהָלָה
in=his=coming_out  בְּ=צֵאת=וֹ
in=his=generations  בְּ=דֹרֹתָי=ו
in=his=hand  בְּ=יָד=וֹ
in=his=image  בְּ=צַלְמ=וֹ
in=his=resemblance/likeness  בִּ=דְמוּת=וֹ
in=his=two_nostrils  בְּ=אַפָּי=ו
in=house_of  בְּ=בֵית
in=it/him  ב=וֹ
in=its=day  בְּ=יוֹמ=וֹ
in=land  בְּ=אֶרֶץ
in=land_of  בְּ=אֶֽרֶץ
in=our=image  בְּ=צַלְמֵ=נוּ
in=pain  בְּ=עִצָּבוֹן
in=Shiloh  בְ=שִׁלֹה
in=Shiloh  בְּ=שִׁלֹה
in=the=darkness  בַ=חֲשׁוֹכָ=א
in=the=heavens  בִּ=שְׁמַיָּ=א
in=the=vision  בְּ=חֶזְוָ=א
in=the_heavens  בַ=שָּׁמַיִם
in=their=lands  בְּ=אַרְצֹתָ=ם
in=their=nations  בְּ=גוֹיֵ=הֶֽם
in=then  בֵּ=אדַיִן
in=Ur  בְּ=אוּר
in=year  בְ=שָׁנָה
in=year  בִּ=שְׁנַת
in=you(ms)  בְ=ךָ
in_the=affliction  בָּ=עֳנִי
in_the=day  בַּ=יּוֹם
in_the=days  בַּ=יָּמִים
in_the=field  בַּ=שָּׂדֶה
in_the=firmament  בִּ=רְקִיעַ
in_the=garden  בַּ=גָּן
in_the=likeness/resemblance  בִּ=דְמוּת
in_the=middle  בְּ=תוֹךְ
in_the=seas  בַּ=יַּמִּים
increase/multiply  יִרֶב
infertile  עֲקָרָה
inform=me  הַחֲוֺ=נִי
instead_of=her/it  תַּחְתֶּֽ=נָּה
Irad  עִירָד
is_asking  שָׁאֵל
is_revealing  גָּלֵא
is_sad  יֵרַע
it=is  אִיתוֹ=הִי
it_ascended  יַֽעֲלֶה
it_be_changed  יִשְׁתַּנֵּא
it_became  הָיָה
it_divided  יִפָּרֵד
it_glowed/burned  חָרָה
it_had_corrupted  הִשְׁחִית
it_had_decayed/was_corrupt  נִשְׁחָתָה
it_happened  נִהְיְתָה
it_is_said  יֵאָמַר
it_was_born/begun//played  הוּחַל
it_was_revealed  גֲלִי
it_was_sprouting  יִצְמָח
it_went_out  נֶפְקַת
it_will_add/repeat  תֹסֵף
it_will_ascend  יַעֲלֶה
it_will_be_impossible  יִבָּצֵר
it_will_cause_to_sprout  תַּצְמִיחַֽ
it_will_happen  לֶהֱוֵא
its/his=seed  זַרְע=וֹ
its=interpretation  פִשְׁרֵ=הּ
its=road/course  דַּרְכּ=וֹ
just=as  כַּ=אֲשֶׁר
Kaftorim  כַּפְתֹּרִים
Kalah  כָּלַח
Kanaan  כְּנַעַן
Kasdim  כַּשְׂדִּים
Kasluhim  כַּסְלֻחִים
Kenaan  כְּנָעַן
killing_of  הֹרֵג
king  מֶלֶךְ
king  מֶֽלֶךְ
kings  מַלְכִין
Kittim  כִּתִּים
knowing  יָדַע
knowing  יֹדֵעַ
knowing  יֹדְעֵי
knowledge  מַדָּע
knowledge  דַעַת
Kush  כוּשׁ
Kush  כּוּשׁ
Lamek/Lamech  לָמֶךְ
land_of  אֶֽרֶץ
language  שָׂפָה
language_of  שְׂפַת
Lasha  לָשַׁע
law-abiding/just  צַדִּיק
leaf_of  עֲלֵה
Lehabim  לְהָבִים
Lemek/Lamech  לֶמֶךְ
lest  פֶּן
let_him_tell  יֵאמַר
let_it/him_fly  יְעוֹפֵף
let_it_be  יְהִי
let_it_sprout  תַּֽדְשֵׁא
let_them_gather  יִקָּווּ
let_them_swarm  יִשְׁרְצוּ
let_us_build  נִבְנֶה
let_us_descend  נֵרְדָה
let_us_make_bricks  נִלְבְּנָה
Levi  לֵוִי
life(pl)  חַיִּים
lifting/taking  נֹשֵׂא
light  אוֹר
lights  מְאֹרֹת
like/according_to=name  כְּ=שֵׁם
like=Daniyyel  כְּ=דָנִיֵּאל
like=Elohim  כֵּ=אלֹהִים
like=in_front_of=him  כְּ=נֶגְדּ=וֹ
like=Nimrod  כְּ=נִמְרֹד
like=one  כְּ=אַחַד
like=this  כִ=דְנָה
listen_you(fp)  שְׁמַעַן
live  חֱיִי
living  חַיָּה
living_(creature)  חָי
loosens/lives  שְׁרֵא
Lot  לוֹט
Ludim  לוּדִים
magician  חַרְטֹּם
magicians  חַרְטֻמִּין
Mahalalel  מַהֲלַלְאֵל
make/work/create/deal  עֲשֵׂה
male  זָכָר
man  אֲנָשׁ
manipulating  תֹּפֵשׂ
matter_of  מִלַּת
Mehuyael/Mehujael  מְחוּיָאֵל
members  הַדָּמִין
men  אֲנָשִׁים
men_of  אַנְשֵׁי
Meshak  מֵישַׁךְ
Metushael/Methushael  מְתוּשָׁאֵל
Metushalah/Methuselah  מְתוּשָׁלַח
Metushelah/Methuselah  מְתוּשֶׁלַח
mighty  גִבֹּר
mighty  גִּבּוֹר
mighty(ms)  גִּבֹּר
Milkah  מִלְכָּה
Mishael  מִֽישָׁאֵל
Moreh  מוֹרֶה
morning  בֹקֶר
mother_of  אֵם
my=breath/wind/spirit  רוּחִ=י
my=brother/kindred  אָחִ=י
my=fathers  אֲבָהָתִ=י
my=head  רֹאשִׁ=י
my=master/lord  אֲדֹנָ=י
my=master/lord  אֲדֹנִ=י
my=perversity/evil/guilt/punishment  עֲוֺנִ=י
my=sound/voice  קוֹלִ=י
my=speech/discourse  אִמְרָתִ=י
Naamah  נַֽעֲמָה
Naftuhim  נַפְתֻּחִים
Nahor  נָחוֹר
naked  עֵירֹם
naked(pl)  עֵירֻמִּם
name_of  שֵׁם
names  שֵׁמוֹת
names_of  שְׁמוֹת
Nebukadnetstsar  נְבוּכַדְנֶאצַּר
Nebukadnetstsar  נְבֻכַדְנֶצַּר
Nego  נְגוֹ
nests  קִנִּים
next/another  אַחֵר
night  לָיְלָה
Nimrod  נִמְרֹד
nine  תֵּשַׁע
nine  תְּשַֽׁע
nine  תְּשַׁע
ninety  תִּשְׁעִים
Nineveh  נִינְוֵה
Noah  נֹחַ
Nod  נוֹד
not  לָא
not  לֹא
not  אֵין
not  אַל
not  אַיִן
now  נָא
nude/naked  עֲרוּמִּים
O/the=king  מַלְכָּ=א
oak/large_tree  אֵלוֹן
of=(the)_reign  לְ=מַלְכוּת
on/over/above_the_face/surface  עַל־פְּנֵי
on/over=(a)_fish_of  בִ=דְגַת
on/over=fish_of  בִּ=דְגַת
on/over=you(fs)  בָּ=ךְ
on/upon  עַֽל
on/upon/above/on_account_of//he_went_in  עַל
on/upon/above=him  עָלָי=ו
on/upon=it(f)  עָלֶי=הָ
on=account_of=you(ms)  בַּֽ=עֲבוּרֶ=ךָ
on=perspiration/sweat_of  בְּ=זֵעַת
on=their=being  בִּ=הְיוֹתָ=ם
on=their=pulling_out  בְּ=נָסְעָ=ם
on_the=earth  בָּ=אָרֶץ
one  חֲדָה
one  אֶחָת
one(fs)  אַחַת
one(ms)  אֶחָד
only  רַק
only/nevertheless/but  בְּרַם
our=appearance  מַרְאֵי=נוּ
our=both_hands  יָדֵי=נוּ
Patrusim  פַּתְרֻסִים
Peleg  פָּלֶג
Peleg  פֶּלֶג
Peleg  פֶלֶג
Pelishtim  פְּלִשְׁתִּים
Peninnah  פְּנִנָּה
people  עַם
Perat/Euphrates  פְרָת
Pishon  פִּישׁוֹן
place  מָקוֹם
place/spot  מְקוֹם
plans/thoughts_of  מַחְשְׁבֹת
plant  עֵשֶׂב
portion  מָנָה
portions  מָנוֹת
praising  מְהוֹדֵא
priests  כֹּהֲנִים
produce  תּוֹצֵא
producing  עֹשֶׂה
provocation  כַּעַס
Qayin/Cain  קַיִן
Qayin/Cain  קָיִן
Qenan/Kenan  קֵינָן
Raamah  רַעְמָה
ready_for_destroying=them  מַשְׁחִיתָ=ם
Rehobot  רְחֹבֹת
remainder  שְׁאָר
removing  מְהַעְדֵּה
replying(sg)  עָנֵה
Resen  רֶסֶן
Reu  רְעוּ
Reuven  רְאוּבֵן
road/way_of  דֶּרֶךְ
rubble  נְוָלִי
same  אֲחָדִים
Sarai  שָׂרָי
Sarai  שָׂרַי
seas  יַמִּים
Seba  סְבָא
second  שֵׁנִי
secrets  רָזִין
seed  זָרַע
seed-bearing  מַזְרִיעַ
seed-bearing  זֹרֵעַ
seed/offspring  זֶרַע
seeing  רָאֹה
separating  מַבְדִּיל
Serug  שְׂרוּג
seven  שֶׁבַע
seven_times  שִׁבְעָתַיִם
seventy  שִׁבְעִים
Shadrak  שַׁדְרַךְ
Shalah  שָׁלַח
she/it  הִיא
she/it_has_opened  פָּצְתָה
she/it_is_full  מָלְאָה
she=ascended  עֲלֹתָ=הּ
she_ate  תֹאכַל
she_gave  נָתְנָה
she_gave_birth  יָלְדָה
she_had_made_much  הִרְבְּתָה
she_provoked=her  תַּכְעִסֶ=נָּה
she_was  הָיְתָה
she_was_speaking  מְדַבֶּרֶת
she_was_taken  לֻקֳחָה
she_wept  תִבְכֶּה
Sheba  שְׁבָא
Shekem  שְׁכֶם
Shelah  שֶׁלַח
Shet/Seth  שֵׁת
Shimon  שִׁמְעוֹן
Shinar  שִׁנְעָר
shrieking/proclaiming  צֹעֲקִים
sign/signal/evidence  אוֹת
sin  חַטָּאת
skin/leather  עוֹר
so  כֵן
soil/ground  אֲדָמָה
son  בֵּן
son_of  בֶּן
son_of  בֶן
sons  בָּנִים
sons_of  בְּנֵי
sons_of  בְנֵי
soul  נָפֶשׁ
sound/voice  קוֹל
spoil  בַּג
store_of  אוֹצַר
stretch_ear/listen_you(fp)  הַאְזֵנָּה
swarm(n)  שֶׁרֶץ
teen  עֶשְׂרֵה
tell  אֱמַרוּ
tell  אֱמַר
temple_of  הֵיכַל
ten  עֲשָׂרָה
ten  עֶשֶׂר
tent/house  אֹהֶל
Terah  תָּרַח
Terah  תֶּרַח
Terah  תֶרַח
that  דִי
that/for/because/then/when  כִּי
that/who  דִּי
the=(one)_creeping  הָ=רֹמֵשׂ
the=(one)_going  הַֽ=הֹלֵךְ
the=(one)_going_around  הַ=סֹּבֵב
the=(one)_going_around  הַ=סּוֹבֵב
the=(ones_who)_went  הַ=בָּאִים
the=ages  עָלְמָ=א
the=Arqi  הַ=עַרְקִי
the=Arvadi  הָ=אַרְוָדִי
the=bdellium  הַ=בְּדֹלַח
the=big(pl)  הַ=גְּדֹלִים
the=big/great(sg)  הַ=גָּדֹל
the=big/large/great(fs)  הַ=גְּדֹלָה
the=box  הַ=תֵּבָה
the=brick  הַ=לְּבֵנָה
the=captain  שַׁלִּיטָ=א
the=cattle/livestock  הַ=בְּהֵמָה
the=cherubims  הַ=כְּרֻבִים
the=city  הָ=עִיר
the=creeping  הָ=רֹמֶשֶׂת
the=creeping_(thing)  הָ=רֶמֶשׂ
the=darkness  הַ=חֹשֶׁךְ
the=day  הַ=יּוֹם
the=days  יוֹמַיָּ=א
the=days  הַ=יָּמִים
the=decree  דָתָ=א
the=deep_(things/mysteries)  עַמִּיקָתָ=א
the=dream  חֶלְמָ=א
the=dream  הַ=חֲלוֹם
the=drought//sword/knife  הַ=חֶרֶב
the=dry_ground  הַ=יַּבָּשָׁה
the=earth  יַבֶּשְׁתָּ=א
the=earth/land  הָ=אָרֶץ
the=Elohim  הָ=אֱלֹהִים
the=Emori  הָ=אֱמֹרִי
the=executioners  טַבָּחַיָּ=א
the=field  הַ=שָּׂדֶה
the=field  הַ=שָּׂדֶֽה
the=firmament  הָ=רָקִיעַ
the=flesh  בִּשְׂרָ=א
the=flood  הַ=מַּבּוּל
the=fourth  הָ=רְבִיעִי
the=garden  הַ=גָּן
the=Girgashi  הַ=גִּרְגָּשִׁי
the=God  אֱלָהָ=א
the=gold  הַ=זָּהָב
the=guard/protector/keeper  הֲ=שֹׁמֵר
the=guardian  הַ=מֶּלְצַר
the=Hamati  הַ=חֲמָתִי
the=Havilah  הַֽ=חֲוִילָה
the=heavens  שְׁמַיָּ=א
the=heavens  הַ=שָּׁמַיִם
the=heavens  הַ=שָּׁמָיִם
the=herbs/vegetables  הַ=זֵּרֹעִים
the=Hivvi  הַ=חִוִּי
the=humankind  הָ=אָדָם
the=interpretation  פִשְׁרָ=א
the=Kasdaye  כשדי=א
the=Kasdim  הַ=כַּשְׂדִּים
the=Kenaani  הַ=כְּנַעֲנִי
the=king  הַ=מֶּלֶךְ
the=king  מַלְכָּ=ה
the=knowledge  הַ=דַּעַת
the=life  הַֽ=חַיִּים
the=light  הָ=אוֹר
the=lights  הַ=מְּאֹרֹת
the=living  הַ=חַיָּה
the=living_creatures  הַ=נֶּפֶשׁ
the=luminary  הַ=מָּאוֹר
the=magicians/soothsayers  הַֽ=חַרְטֻמִּים
the=man  הָ=אִישׁ
the=matter  מִלְּתָ=א
the=mysteries  רָזַיָּ=א
the=mystery  רָזָ=ה
the=name  הַ=שֵּׁם
the=nations  הַ=גּוֹיִם
the=Nefilim/Nephilim  הַ=נְּפִלִים
the=night  לֵילְיָ=א
the=night  הַ=לָּיְלָה
the=night  הַ=לַּיְלָה
the=nobles  הַֽ=פַּרְתְּמִים
the=officials  הַ=סָּרִיסִים
the=one  הָ=אֶחָד
the=one(f)  הָ=אַחַת
the=ones_eating  הָ=אֹכְלִים
the=onyx/beryl  הַ=שֹּׁהַם
the=powerful/mighty(pl)  הַ=גִּבֹּרִים
the=priest/officer  הַ=כֹּהֵן
the=Ramatayim  הָ=רָמָתַיִם
the=rib/plank  הַ=צֵּלָע
the=river  הַ=נָּהָר
the=royalty  הַ=מְּלוּכָה
the=sea  הַ=יָּם
the=sea_monsters  הַ=תַּנִּינִם
the=seat  הַ=כִּסֵּא
the=second  הַ=שֵּׁנִי
the=second(fs)  הַ=שֵּׁנִית
the=seventh  הַ=שְּׁבִיעִי
the=Sini  הַ=סִּינִי
the=sixth  הַ=שִּׁשִּׁי
the=small(sg)  הַ=קָּטֹן
the=snake  הַ=נָּחָשׁ
the=soil  הָ=אֲדָמָה
the=stars  הַ=כּוֹכָבִים
the=that  הַ=הִוא
the=these  הָ=אֵלֶּה
the=third  הַ=שְּׁלִישִׁי
the=this  הַ=זֶּה
the=those  הָ=הֵם
the=time  עִדָּנָ=א
the=time//this_time  הַ=פַּעַם
the=times  עִדָּנַיָּ=א
the=tower  הַ=מִּגְדָּל
the=tree  הָ=עֵץ
the=Tsemari  הַ=צְּמָרִי
the=tumbling  הַ=מִּתְהַפֶּכֶת
the=vessels  הַ=כֵּלִים
the=waters  הַ=מָּיִם
the=waters  הַ=מַּיִם
the=wisdom  חָכְמְתָ=א
the=woman  הָ=אִשָּׁה
the=Yebusi  הַ=יְבוּסִי
the=youths  הַ=יְלָדִים
the_(one)=from  הֲ=מִן
their=appearance  מַרְאֵי=הֶם
their=beginning  הַחִלָּ=ם
their=drinking/feast  מִשְׁתֵּי=הֶם
their=dwelling_place  מְדָרְ=הוֹן
their=food/delicacy  פַּתְבָּגָ=ם
their=group/army/objects  צְבָאָ=ם
their=language  שְׂפָתָ=ם
their=name  שְׁמָ=ם
their=property  רְכוּשָׁ=ם
their=property/content  מְלַאכְתּ=וֹ
them=four  אַרְבַּעְתָּ=ם
then  אֱדַיִן
then  אָז
there  שָׁם
there_is  אִיתַי
therefore/except  לָהֵן
these  אֵלֶּה
they  הֵם
they(emph)  הֵמָּה
they(f)  הֵנָּה
they_came_out  יָצְאוּ
they_came_up  סְלִקוּ
they_had_accumulated  רָכָשׁוּ
they_had_acquired  עָשׂוּ
they_had_built  בָּנוּ
they_have_fallen  נָפְלוּ
they_replied  עֲנוֹ
they_separated  נִפְרְדוּ
they_swarmed  שָׁרְצוּ
they_tried/selected/chose  בָּחָרוּ
they_went  בָּאוּ
they_went  יָבֹאוּ
they_were  הָיוּ
they_were_born  יֻלְּדוּ
they_were_paled/ashamed  יִתְבֹּשָׁשׁוּ
they_were_scattered  נָפֹצוּ
they_were_shaking  נָּעוֹת
they_will_be_made  יִתְּשָׂמוּן
they_will_devise  יָזְמוּ
they_will_stand  יַֽעַמְדוּ
they_will_understand  יִשְׁמְעוּ
third  שְׁלִישִׁי
thirty  שְׁלֹשִׁים
this  זֶה
this  זֹּאת
this(f)  זֹאת
this(ms)  דְנָה
this/about_this  דְּנָה
three  שָׁלוֹשׁ
three  שָׁלֹשׁ
three  שְׁלֹשׁ
three  שְׁלֹשָׁה
tilling_of  עֹבֵד
time  זְמָן
to/for=(a)_woman  לְ=אִשָּׁה
to/for=Adam/humankind  לְ=אָדָם
to/for=all=them  לְ=כֻלָּ=ם
to/for=appearance  לְ=מַרְאֶה
to/for=both_eyes  לָ=עֵינַיִם
to/for=Coresh  לְ=כוֹרֶשׁ
to/for=Daniyyel  לְ=דָנִיֵּאל
to/for=flesh/body  לְ=בָשָׂר
to/for=garden  לְ=גַן
to/for=Hanok/Enoch  לַֽ=חֲנוֹךְ
to/for=her  לָ=הּ
to/for=her=man/husband  לְ=אִישָׁ=הּ
to/for=his=women/wives  לְ=נָשָׁי=ו
to/for=its/his=kind  לְ=מִינ=וֹ
to/for=me  לִּ=י
to/for=my=face/front  לְ=פָנַ=י
to/for=my=stripe/bruise/wound  לְ=חַבֻּרָתִ=י
to/for=my=wound/bruise  לְ=פִצְעִ=י
to/for=Noah  לְ=נֹחַ
to/for=ourselves  לָּ=נוּ
to/for=Peninnah  לִ=פְנִנָּה
to/for=Qayin/Cain  לְ=קַיִן
to/for=signs  לְ=אֹתֹת
to/for=the_king  לַ=מֶּלֶךְ
to/for=them  לָ=הֶם
to/for=them  לָ=הֶֽם
to/for=this  לְ=זֹאת
to/for=us  לָ=נוּ
to/for=what  לָ=מָּה
to/for=what_(why)  לָ=מֶה
to/for=wind/breath/spirit  לְ=רוּחַ
to/for=YHWH  לַֽ=יהוָה
to/for=YHWH  לַ=יהוָה
to/for=you(fs)  לָ=ךְ
to/for=you(pl)  לָ=כֶם
to/for=your(ms)=female_slave  לַ=אֲמָתְ=ךָ
to/for=yourself(m)  לְ=ךָ
to/for_the=magicians/soothsayers  לַֽ=חַרְטֻמִּים
to/for_the=opening/doorway  לַ=פֶּתַח
to/for_the=woman/wife  לָ=אִשָּׁה
to/from=all/each/any/every  לְ=כָל
to/near  אֶֽל
to/towards  אֶל
to=(a)_nation  לְ=גוֹי
to=(ones)_knowing  לְ=יָדְעֵי
to=(the)_face_of/in_front_of/before  לִ=פְנֵי
to=(the)_wise_(ones)  לְ=חַכִּימִין
to=all/each/any/every  לְ=כֹל
to=announce  לְ=הַגִּיד
to=Aryok  לְ=אַרְיוֹךְ
to=Ashpenaz  לְ=אַשְׁפְּנַז
to=be  לִ=הְיוֹת
to=be_drunk(fs)  לְ=שִׁכֹּרָה
to=be_executed  לְ=הִתְקְטָלָה
to=bring  לְ=הָבִיא
to=bring=them  לַ=הֲבִיאָ=ם
to=build  לִ=בְנֹת
to=burning  לִ=שְׂרֵפָה
to=call  לִ=קְרֹא
to=days  יָמִימָ=ה
to=destroy  לְ=הוֹבָדָה
to=execute  לְ=קַטָּלָה
to=favour  לְ=חֶסֶד
to=four  לְ=אַרְבָּעָה
to=give_birth  לָ=לֶדֶת
to=give_light  לְ=הָאִיר
to=go  לָ=לֶכֶת
to=God  לֶ=אֱלָהּ
to=guard/protect  לִ=שְׁמֹר
to=her  אֵלֶי=הָ
to=him  לֵ=הּ
to=him  אֵלָי=ו
to=him  ל=וֹ
to=his=house  לְ=בַיְתֵ=הּ
to=his=language  לִ=לְשֹׁנ=וֹ
to=his=servants  לְ=עַבְדוֹ=הִי
to=increase_in_number  לָ=רֹב
to=inform  לְ=הַֽחֲוָיָה
to=its/his=kind  לְ=מִינֵ=הוּ
to=its=kind  לְ=מִינָ=הּ
to=know  לָ=דַעַת
to=living_creature  לְ=נֶפֶשׁ
to=make_know=me  לְ=הוֹדָעֻתַ=נִי
to=make_wise/intelligent  לְ=הַשְׂכִּיל
to=me  לִ=י
to=me  אֵלַ=י
to=mortar  לַ=חֹמֶר
to=not  לְ=בִלְתִּי
to=pray  לְ=הִתְפַּלֵּל
to=reply  לְ=הַחֲוָיָה
to=say  לֵ=אמֹר
to=see  לִ=רְאוֹת
to=seek  לְ=מִבְעֵא
to=separate  לְ=הַבְדִּיל
to=sound/voice  לְ=קוֹל
to=stand  לַ=עֲמֹד
to=stone  לְ=אָבֶן
to=take/accept/receive  לָ=קַחַת
to=tell  לְ=מֵאמַר
to=the=Kasda'e  ל=כשדי=א
to=the=king  לְ=מַלְכָּ=א
to=the_word/thing/matter  לַ=דָּבָר
to=their=clans  לְ=מִשְׁפְּחֹתָ=ם
to=their=kind  לְ=מִינֵ=הֶם
to=vanishing_point  לְ=עֹלָם
to=water  לְ=הַשְׁקוֹת
to=wisemen  לְ=חַכִּימֵי
to=work  לַֽ=עֲבֹד
to=work=her/it  לְ=עָבְדָ=הּ
to=your(sg)=servant  ל=עבדי=ך
to=your=face  לְ=פָנֶי=ךָ
to_be  הֱיוֹת
to_create  בְּרֹא
to_create=them  הִבָּרְאָ=ם
to_die  מוֹת
to_disconcert=her  הַרְּעִמָ=הּ
to_eat  אָכֹל
to_eat  אֲכָל
to_elevate/lift_up  שְׂאֵת
to_give  תֵּת
to_increase  הַרְבָּה
to_make  עֲשׂוֹת
to_strike/beat  הַכּוֹת
to_the=dry_ground  לַ=יַּבָּשָׁה
to_the=firmament  לָ=רָקִיעַ
to_the=firmament  לָֽ=רָקִיעַ
to_the=light  לָ=אוֹר
Tohu  תֹּחוּ
towards=Egypt  מִצְרָיְמָ=ה
towards=Gerara  גְרָרָ=ה
towards=land  אַרְצָ=ה
towards=Sedom  סְדֹמָ=ה
towards=the=south  הַ=נֶּֽגְבָּ=ה
trance/deep_sleep/lethargy  תַּרְדֵּמָה
tree/wood_of  עֲצֵי
tree/word  עֵץ
Tsidon  צִידֹן
Tsillah/Zillah  צִלָּה
Tsofim  צוֹפִים
Tsuf  צוּף
Tuval/Tubal  תּוּבַל
two  שְׁתַּיִם
two(fd)  שְׁתֵּי
two/dual  שְׁתֵּים
two_hundreds  מָאתַיִם
two_of  שְׁנֵי
two_years  שְׁנָתַיִם
understanding  בִּינָה
until  עַד
vegetation  דֶּשֶׁא
very  מְאֹד
vessels_of  כְּלֵי
violence/cruelty  חָמָס
vision  חָזוֹן
walking_around/wandering  מִתְהַלֵּךְ
was(fs)_bitter  מָרַת
was_sitting  יֹשֵׁב
waters  מַיִם
wavering/wandering  נָע
we=drink  וְ=נִשְׁתֶּה
we_be_scattered  נָפוּץ
we_prayed  בְעֵינָא
we_will_eat  נֹאכֵל
we_will_inform  נְהַחֲוֵה
we_will_make  נַֽעֲשֶׂה
we_will_show/interpret  נְחַוֵּא
what  מָה
what?  מַה
what?  מֶה
when(q)  מָתַי
where?  אֵי
where?=you(ms)  אַיֶּֽ=כָּה
which/who  אֲשֶׁר
who/which  הִוא
who?  מִי
wife_of  אֵשֶׁת
will_belong  יִהְיֶה
will_you(fs)_be_drunk=?  תִּשְׁתַּכָּרִי=ן
wing/corner/skirt  כָּנָף
wisdom  חָכְמָה
wisdom_of  חָכְמַת
wise_(men)  חַכִּימִין
wise_men_of  חַכִּימֵי
with  עִם
with=her  עִמָּ=הּ
with=him  עִמֵּ=הּ
with=him  אִתּ=וֹ
with=him  עִמּ=וֹ
with=me  עִמָּדִ=י
with=them  אִתָּ=ם
woman/wife  אִשָּׁה
women/wives  נָשִׁים
women/wives_of  נְשֵׁי
word  מִלָּה
word/matter_of  דְּבַר
writing  סֵפֶר
Yaakob  יַעֲקֹב
Yafet  יֶפֶת
Yafet/Japheth  יָפֶת
Yared/Jared  יָרֶד
Yared/Jared  יֶרֶד
Yaval/Jabal  יָבָל
Yavan  יָוָן
year  שָׁנָה
year_of  שְׁנַת
years  שָׁנִים
Yehoyakim  יְהוֹיָקִים
Yehud  יְהוּד
Yehuda  יְהוּדָה
Yeroham  יְרֹחָם
Yerushalayim  יְרוּשָׁלִַם
yes/correct/thus/so  כֵּן
YHWH  יְהוָה
YHWH  יְהֹוָה
Yiskah  יִסְכָּה
Yisrael  יִשְׂרָאֵל
Yissaskar  יִשָּׂשכָר
you(fs)_eat  תֹֽאכְלִי
you(fs)_have_done  עָשִׂית
you(fs)_weep  תִבְכִּי
you(fs)_will_give_birth_to  תֵּלְדִי
you(ms)  אָתָּה
you(ms)  אַתָּה
you(ms)=eat  אֲכָלְ=ךָ
you(ms)=return  שׁוּבְ=ךָ
you(ms)_gave  יְהַבְתְּ
you(ms)_have_done/made  עָשִׂיתָ
you(ms)_have_driven_away  גֵּרַשְׁתָּ
you(ms)_have_eaten  אָכָלְתָּ
you(ms)_paid_attention  שָׁמַעְתָּ
you(ms)_put  נָתַתָּה
